,medName,manufacturer,Marketer Address,prescription_req,salts,Unit of Measurement,pack form,in_stock,Introduction,uses,benefits,directions,How medicine works,If you forgot to take,Quick Tips,side_effects,How to cope with side effects,precautions,pageURL
0,एक्नेसोल जेल,सिस्टोपिक लेबोरेटरीज प्राइवेट लिमिटेड,"सिस्टोपिक लेबोरेटरीज प्रा। लिमिटेड, 101, प्रगति मंडल, वाणिज्यिक परिसर, रंजीत नगर, नई दिल्ली -110008",उपलब्ध नहीं है,क्लिंडामाइसिन (1% w / w),ग्राम,ट्यूब,हाँ,"Acnesol Gel एक एंटीबायोटिक है जो बैक्टीरिया से लड़ता है। इसका उपयोग मुँहासे का इलाज करने के लिए किया जाता है, जो आपके चेहरे, छाती या पीठ पर धब्बे या फुंसियों के रूप में दिखाई देता है। यह दवा उन बैक्टीरिया पर हमला करके काम करती है जो इन पिंपल्स का कारण बनते हैं। एस्केनॉल जेल केवल बाहरी उपयोग के लिए है और इसका उपयोग आपके डॉक्टर द्वारा सलाह के रूप में किया जाना चाहिए। दवा की एक पतली परत लगाने से पहले आपको सामान्य रूप से प्रभावित क्षेत्र को धोना और सूखना चाहिए। इसे टूटी हुई या क्षतिग्रस्त त्वचा पर नहीं लगाना चाहिए। अपनी आंखों, नाक या मुंह के संपर्क में आने से बचें। यदि आप इन क्षेत्रों में गलती से इसे प्राप्त करते हैं, तो इसे पानी से कुल्ला करें। आपके लक्षणों में सुधार होने में कई सप्ताह लग सकते हैं, लेकिन आपको नियमित रूप से इस दवा का उपयोग करते रहना चाहिए। जैसे ही आपके मुंहासे ठीक होने लगें, इसका इस्तेमाल करना बंद न करें। अपने चिकित्सक से पूछें कि आपको कब इलाज बंद करना चाहिए। कुछ लोगों में मामूली खुजली, जलन, त्वचा की लालिमा और तैलीय त्वचा जैसे दुष्प्रभाव दिखाई दे सकते हैं। ये आमतौर पर अस्थायी होते हैं और अपने आप ही हल हो जाते हैं। अपने चिकित्सक से परामर्श करें यदि वे आपको परेशान करते हैं या दूर नहीं जाते हैं। यह एक सुरक्षित दवा है, लेकिन आपको अपने डॉक्टर को सूचित करना चाहिए यदि आपको अपने आंतों (आंतों) में कोई समस्या है। इसके अलावा, डॉक्टर को सूचित करें कि क्या आपको कभी एंटीबायोटिक्स लेने के कारण खूनी दस्त हुआ है या यदि आप त्वचा की स्थिति का इलाज करने के लिए किसी अन्य दवा का उपयोग कर रहे हैं। यदि आप गर्भवती हैं या स्तनपान करा रही हैं तो इस दवा का उपयोग करने के बारे में अपने चिकित्सक से परामर्श करें।",मुँहासे,"Acnesol Gel एक एंटीबायोटिक है जो आपकी त्वचा पर मुँहासे पैदा करने वाले बैक्टीरिया के विकास को रोककर काम करता है। आपके लक्षणों में सुधार होने में कई सप्ताह लग सकते हैं, इसलिए आपको इस दवा का उपयोग करते रहने की आवश्यकता है, भले ही यह काम न करता हो। कभी-कभी मुँहासे बेहतर होने से पहले खराब हो सकते हैं, हालांकि, उचित उपयोग के साथ, आपकी त्वचा साफ हो जाएगी। पहले आप इसका इस्तेमाल करना शुरू कर देंगे, आपको निशान पड़ने की संभावना कम होगी।","यह दवा केवल बाहरी उपयोग के लिए है। अपने चिकित्सक द्वारा सलाह के अनुसार खुराक और अवधि में इसका उपयोग करें। उपयोग से पहले दिशाओं के लिए लेबल की जाँच करें। प्रभावित क्षेत्र को साफ और सूखा और जेल लागू करें। आवेदन करने के बाद अपने हाथों को धो लें, जब तक कि हाथ प्रभावित क्षेत्र न हों।","Acnesol Gel एक एंटीबायोटिक है। यह महत्वपूर्ण कार्यों को करने के लिए बैक्टीरिया द्वारा आवश्यक प्रोटीन के संश्लेषण को रोकने के द्वारा काम करता है। इस प्रकार, यह बैक्टीरिया को बढ़ने से रोकता है, और संक्रमण को फैलने से रोकता है।","यदि आपको Acnesol Gel की एक खुराक याद आती है, तो इसे जल्द से जल्द लें। हालांकि, अगर यह आपकी अगली खुराक के लिए लगभग समय है, तो छूटी हुई खुराक को छोड़ दें और अपने नियमित समय पर वापस जाएं। खुराक को दोगुना न करें।","मुंहासों के उपचार के लिए आपको Acnesol Gel निर्धारित किया गया है। मुंहासों में सुधार होने से पहले आपको इसे लंबे समय तक इस्तेमाल करना पड़ सकता है। धैर्य रखें और हर दिन इसका उपयोग करते रहें।, अपनी त्वचा को एक माइल्ड क्लीन्ज़र से धोएं और एक्नेसोल जेल लगाने से पहले इसे थपथपाकर सुखा लें। इसे साफ, सूखी, मुंहासों से प्रभावित त्वचा पर एक पतली परत के रूप में लगाएँ। इससे मामूली जलन हो सकती है। , डंक मारने या लगाने पर जलन। अपने डॉक्टर को सूचित करें यदि यह दूर नहीं जाता है।, अपनी आंखों, नाक या मुंह से संपर्क करने से बचें। यदि आप गलती से इन क्षेत्रों में क्रीम प्राप्त करते हैं, तो इसे पानी से कुल्ला दें। यदि आपको लगता है कि आपके द्वारा उपचार किया जा रहा त्वचा का क्षेत्र अधिक चिढ़ और संक्रमित हो गया है, तो आपको ऐनेसोल जेल का उपयोग करना बंद कर देना चाहिए और अपने चिकित्सक से परामर्श करना चाहिए।","आवेदन साइट प्रतिक्रियाओं (जलन, जलन, खुजली और लालिमा), त्वचा पर चकत्ते","त्वचा पर चकत्ते के साथ परछती त्वचा की समस्याओं की एक विस्तृत श्रृंखला के लिए कई उपचार हैं। गर्म वर्षा या स्नान से बचें क्योंकि गर्म पानी त्वचा को परेशान कर सकता है। स्नान या शॉवर के बाद अपनी त्वचा को थपथपाना सुनिश्चित करें। प्रभावित क्षेत्र को रगड़ें या खरोंचें नहीं। जितना हो सके हवा के संपर्क में आने वाली त्वचा को छोड़ दें। सुगंधित साबुन या डिओडोरेंट का उपयोग न करें। क्लोरीन युक्त पानी ज्यादातर त्वचा की समस्याओं को बदतर बना सकता है, इसलिए तैराकी से बचें। मसालेदार भोजन, शराब, तंबाकू के धुएं और कैफीन से बचें क्योंकि इससे खुजली भी बदतर हो सकती है। सूरज की अधिकता से बचें। बाहर जाने पर हमेशा सनस्क्रीन और सुरक्षात्मक कपड़ों का उपयोग करें। प्रभावित क्षेत्र को शांत करने और हाइड्रेट करने के लिए नियमित रूप से मॉइस्चराइज़र का उपयोग किया जा सकता है। यदि यह एक सप्ताह के भीतर ठीक नहीं होता है, तो किसी फार्मासिस्ट या डॉक्टर से बात करें।","पिछला सुझाव अल्कोहल के लिए है। कांसोल जेल आमतौर पर गर्भावस्था के दौरान उपयोग करना सुरक्षित माना जाता है। पशु अध्ययन ने विकासशील बच्चे को कम या कोई प्रतिकूल प्रभाव नहीं दिखाया है; हालाँकि, सीमित मानव अध्ययन हैं। पिछला सुझाव गर्भवती महिलाओं के लिए है। एस्केनॉल जेल स्तनपान के दौरान उपयोग करना सुरक्षित है। मानव अध्ययन से पता चलता है कि दवा एक महत्वपूर्ण मात्रा में ब्रेस्टमिल्क में नहीं जाती है और बच्चे के लिए हानिकारक नहीं है। बच्चे में दस्त या दाने होने की संभावना हो सकती है। पिछला सुझाव स्तनपान के लिए है। पिछला सुझाव ड्राइविंग के लिए है। पिछला सुझाव किडनी के लिए है। पिछला सुझाव लिवर के लिए है।",https://www.1mg.com/drugs/acnesol-gel-153415
1,एम्ब्रोडिल सिरप,Aristo Pharmaceuticals Pvt Ltd,"मर्केंटाइल चैंबर, तीसरी मंजिल, 12, जे.एन. हेरेडिया मार्ग, बॉलार्ड एस्टेट, मुंबई - 400 001, भारत।",उपलब्ध नहीं है,Ambroxol (30mg / 5ml),मिलीलीटर,बोतल,हाँ,"Ambrodil Syrup का उपयोग श्वसन तंत्र के विभिन्न विकारों के लिए किया जाता है जो अत्यधिक बलगम से जुड़े होते हैं। यह नाक, विंडपाइप और फेफड़ों में बलगम को पतला और ढीला करके काम करता है और इसे बाहर खांसी करना आसान बनाता है। अम्ब्रोडिल सिरप को भोजन के साथ लेना चाहिए। बेहतर परिणामों के लिए, इसे हर दिन एक ही समय पर लेने का सुझाव दिया जाता है। खुराक और आप इसे कितनी बार लेते हैं यह इस बात पर निर्भर करता है कि आप इसे किस लिए ले रहे हैं। आपका डॉक्टर तय करेगा कि आपको अपने लक्षणों में सुधार करने की कितनी आवश्यकता है। यह सलाह दी जाती है कि बिना चिकित्सक परामर्श के 14 दिनों से अधिक समय तक इसका उपयोग न करें। इस दवा के सबसे आम दुष्प्रभावों में उल्टी, मतली और पेट खराब होना शामिल है। अपने डॉक्टर से बात करें यदि आप साइड इफेक्ट्स के बारे में चिंतित हैं या वे दूर नहीं जाएंगे। आमतौर पर, यह सलाह दी जाती है कि उपचार के दौरान शराब न लें। इस दवा को लेने से पहले, अपने चिकित्सक को बताएं कि क्या आपको यकृत या गुर्दे की बीमारी है या यदि आपको पेट की समस्या है। आपके डॉक्टर को उन सभी अन्य दवाओं के बारे में भी पता होना चाहिए जो आप ले रहे हैं, इनमें से कई इस दवा को कम प्रभावी बना सकती हैं या इसके काम करने के तरीके को बदल सकती हैं। यदि आप गर्भवती हैं या स्तनपान करा रही हैं तो इस दवा का उपयोग करने से पहले डॉक्टर की सलाह अवश्य लें।",चिपचिपा बलगम के साथ जुड़े श्वसन तंत्र के विकार,उपलब्ध नहीं है,इस दवा को अपने चिकित्सक द्वारा बताई गई खुराक और अवधि में लें। उपयोग से पहले दिशाओं के लिए लेबल की जाँच करें। इसे मापने वाले कप के साथ मापें और इसे मुंह से लें। इस्तेमाल से पहले अच्छी तरह हिलायें। Ambrodil Syrup को भोजन के साथ लिया जाना है।,"Ambrodil Syrup एक म्यूकोलाईटिक दवा है। यह नाक, विंडपाइप और फेफड़ों में बलगम (कफ) को निकालता है और खांसी को आसान बनाता है।",उपलब्ध नहीं है,"एम्ब्रोडिल सिरप वायुमार्ग से बलगम (पतला और चिपचिपा पदार्थ) को पतला करने और निकालने में मदद करता है, जिससे विभिन्न श्वसन स्थितियों का इलाज होता है। सिरप को एक विशेष खुराक-मापने वाले चम्मच या कप के साथ मापें, न कि एक नियमित रूप से चम्मच। , अपने चिकित्सक को सूचित करें यदि आप पीड़ित हैं या वर्तमान में किसी भी पेट, यकृत या गुर्दे की समस्या से पीड़ित हैं। , अपने डॉक्टर की सलाह के बिना, 14 दिनों से अधिक समय तक Ambrodil Syrup का उपयोग न करें। अपने डॉक्टर को बताएं कि क्या आप गर्भवती हैं, गर्भवती होने की योजना बना रही हैं या स्तनपान करा रही हैं।","उल्टी, मतली, पेट की ख़राबी","उल्टी के साथ मुकाबला करना आप बड़े लोगों के बजाय छोटे, लगातार भोजन खाने और तरल पदार्थ पीने से खुद की मदद कर सकते हैं। धीरे - धीरे खाओ। वसायुक्त, तले, मसालेदार और बहुत मीठे खाद्य पदार्थों से बचें। ठंडा या थोड़ा गर्म भोजन खाएं यदि पका हुआ या खाना पकाने की गंध आपको बीमार महसूस करती है। भरपूर ताजी हवा लें। आप अदरक को चबाने या अदरक की चाय पीने की कोशिश कर सकते हैं। अपने रक्त में पोटेशियम को बदलने के लिए केला खाएं जो अगर आप बीमार हैं (उल्टी) तो छोड़ सकते हैं। बीमार होने के माध्यम से खोए विटामिन और खनिजों को बदलने के लिए मौखिक पुनर्जलीकरण लवण का उपयोग करें। कुछ दवाएं हैं जो आपको बीमार महसूस करने से रोकने में मदद कर सकती हैं। अपने चिकित्सक से बात करें यदि आपकी स्थिति में सुधार नहीं होता है। मतली के साथ काम करना। आप बड़े लोगों के बजाय छोटे, लगातार भोजन करने और बहुत सारे तरल पीने से खुद की मदद कर सकते हैं। धीरे - धीरे खाओ। वसायुक्त, तले, मसालेदार और बहुत मीठे खाद्य पदार्थों से बचें। ठंडा या थोड़ा गर्म भोजन खाएं यदि पका हुआ या खाना पकाने की गंध आपको बीमार महसूस करती है। भरपूर ताजी हवा लें। आप अदरक को चबाने या अदरक की चाय पीने की कोशिश कर सकते हैं। अपने रक्त में पोटेशियम को बदलने के लिए केला खाएं जो अगर आप बीमार हैं (उल्टी) तो छोड़ सकते हैं। बीमार होने के माध्यम से खोए विटामिन और खनिजों को बदलने के लिए मौखिक पुनर्जलीकरण लवण का उपयोग करें। कुछ दवाएं हैं जो आपको बीमार महसूस करने से रोकने में मदद कर सकती हैं। अपनी स्थिति में सुधार नहीं होने पर अपने डॉक्टर से बात करें। अपसेट पेट के साथ काम करना। अपनी दवा को भोजन या नाश्ते के साथ लेना, या खाने के तुरंत बाद। यह छोटे और अधिक लगातार भोजन खाने और धीरे-धीरे खाने और पीने में मदद कर सकता है। ऐसे खाद्य पदार्थों से बचें जो आपके पेट को परेशान कर सकते हैं जैसे कार्बोनेटेड शीतल पेय, कैफीन, वसायुक्त और मसालेदार भोजन, टकसाल और खट्टे फल। धूम्रपान और शराब छोड़ें क्योंकि वे लक्षणों को बढ़ाते हैं। बिस्तर पर जाने से 3 या 4 घंटे पहले भोजन न करें। रात में अपने बिस्तर के सिर को ऊपर उठाने की कोशिश करें या अतिरिक्त तकियों का उपयोग करें। अपने डॉक्टर या फार्मासिस्ट से दवाओं के बारे में पूछें, जो एंटासिड जैसे मदद कर सकती हैं, अगर आपकी स्थिति में सुधार नहीं होता है।","यह ज्ञात नहीं है कि क्या Ambrodil Syrup के साथ शराब का सेवन करना सुरक्षित है। कृपया अपने चिकित्सक से परामर्श करें। पिछला सुझाव अल्कोहल के लिए है। अम्ब्रोडिल सिरप गर्भावस्था के दौरान उपयोग करने के लिए असुरक्षित हो सकता है। हालांकि मनुष्यों में सीमित अध्ययन हैं, पशु अध्ययन ने विकासशील बच्चे पर हानिकारक प्रभाव दिखाया है। आपका डॉक्टर आपको निर्धारित करने से पहले लाभ और किसी भी संभावित जोखिम का वजन करेगा। कृपया अपने चिकित्सक से परामर्श करें। पिछला सुझाव गर्भवती महिलाओं के लिए है। स्तनपान के दौरान Ambrodil Syrup के उपयोग के बारे में जानकारी उपलब्ध नहीं है। कृपया अपने चिकित्सक से परामर्श करें। पिछला सुझाव स्तनपान के लिए है। यह ज्ञात नहीं है कि क्या Ambrodil Syrup ड्राइव करने की क्षमता को बदल देता है। यदि आप किसी भी ऐसे लक्षण का अनुभव करते हैं जो आपके ध्यान केंद्रित करने और प्रतिक्रिया करने की क्षमता को प्रभावित करता है तो गाड़ी न चलाएं। पिछला सुझाव ड्राइविंग के लिए है। गंभीर गुर्दे की बीमारी के रोगियों में सावधानी के साथ अम्ब्रोडिल सिरप का उपयोग किया जाना चाहिए। Ambrodil Syrup के खुराक समायोजन की आवश्यकता हो सकती है। कृपया अपने चिकित्सक से परामर्श करें। पिछला सुझाव किडनी के लिए है। अम्ब्रोडिल सिरप का उपयोग यकृत रोग के रोगियों में सावधानी के साथ किया जाना चाहिए। Ambrodil Syrup के खुराक समायोजन की आवश्यकता हो सकती है। कृपया अपने चिकित्सक से परामर्श करें। पिछला सुझाव लिवर के लिए है।",https://www.1mg.com/drugs/ambrodil-syrup-141454
2,ऑगमेंटिन 625 डुओ टैबलेट,ग्लैक्सो स्मिथक्लाइन फार्मास्यूटिकल्स लिमिटेड,"डॉ। एनी बेसेंट रोड, मुंबई - ४०० ०३०",हाँ,Amoxycillin (500mg) + Clavulanic Acid (125mg),गोलियाँ,पट्टी,हाँ,"Augmentin 625 Duo Tablet एक पेनिसिलिन-प्रकार का एंटीबायोटिक है जो आपके शरीर को बैक्टीरिया के कारण होने वाले संक्रमण से लड़ने में मदद करता है। इसका उपयोग फेफड़ों के संक्रमण (जैसे, निमोनिया), कान, नाक साइनस, मूत्र पथ, त्वचा और कोमल ऊतकों के उपचार के लिए किया जाता है। यह वायरल इन्फेक्शन जैसे आम जुकाम के लिए काम नहीं करेगा। पेट खराब होने की संभावना को कम करने के लिए आउगमेंटिन 625 डुओ टैबलेट को सबसे अच्छा भोजन के साथ लिया जाता है। आपको अपने चिकित्सक द्वारा निर्धारित कार्यक्रम के अनुसार नियमित रूप से समान अंतराल पर इसे नियमित रूप से लेना चाहिए। हर दिन एक ही समय पर लेने से आपको इसे लेने के लिए याद रखने में मदद मिलेगी। खुराक इस बात पर निर्भर करेगा कि आपके लिए क्या इलाज किया जा रहा है, लेकिन आपको हमेशा इस एंटीबायोटिक का पूरा कोर्स अपने डॉक्टर द्वारा निर्धारित करना चाहिए। जब तक आप बेहतर महसूस न करें, तब तक इसे लेना बंद न करें। यदि आप इसे जल्दी लेना बंद कर देते हैं, तो कुछ बैक्टीरिया जीवित रह सकते हैं और संक्रमण वापस आ सकता है या खराब हो सकता है। इस दवा के सबसे आम दुष्प्रभावों में उल्टी, मतली और दस्त शामिल हैं। ये आमतौर पर हल्के होते हैं, लेकिन अपने डॉक्टर को बताएं कि क्या वे आपको परेशान करते हैं या दूर नहीं जाएंगे। इसे लेने से पहले, अपने चिकित्सक को बताएं कि क्या आपको किसी एंटीबायोटिक दवाओं से एलर्जी है या गुर्दे या यकृत की कोई समस्या है। आपको अपनी स्वास्थ्य सेवा टीम को उन सभी अन्य दवाओं के बारे में भी बताना चाहिए जो आप ले रहे हैं जैसा कि वे प्रभावित कर सकते हैं, या इस दवा से प्रभावित हो सकते हैं। इस दवा को आमतौर पर गर्भावस्था और स्तनपान के दौरान उपयोग करने के लिए सुरक्षित माना जाता है, यदि डॉक्टर द्वारा निर्धारित किया गया हो।",जीवाण्विक संक्रमण,"Augmentin 625 Duo Tablet में दो अलग-अलग दवाएं होती हैं जो संक्रमण पैदा करने वाले बैक्टीरिया को मारने के लिए एक साथ काम करती हैं। अमोक्सिसिलिन पेनिसिलिन नामक दवाओं के एक समूह से संबंधित है जो बैक्टीरिया के विकास को रोककर काम करता है। Clavulanic Acid एक बीटा-लैक्टमेज़ अवरोधक है जो प्रतिरोध को कम करता है और बैक्टीरिया के खिलाफ Amoxycillin की गतिविधि को बढ़ाता है। Augmentin 625 Duo Tablet का उपयोग कान, साइनस, गले, फेफड़े, मूत्र पथ, त्वचा, दांत जैसे कई अलग-अलग बैक्टीरियल संक्रमणों के इलाज के लिए किया जा सकता है। जोड़ों, और हड्डियों। यह दवा आमतौर पर आपको कुछ दिनों के भीतर बेहतर महसूस कराती है, लेकिन आपको इसे तब भी जारी रखना चाहिए जब आप यह सुनिश्चित करना बेहतर समझें कि सभी बैक्टीरिया मारे गए हैं और प्रतिरोधी नहीं बन पाए हैं।","इस दवा को अपने चिकित्सक द्वारा बताई गई खुराक और अवधि में लें। इसे पूरी तरह से निगल लें। इसे चबाएं, कुचलें या तोड़ें नहीं। Augmentin 625 Duo Tablet को भोजन के साथ लिया जाना है।",Augmentin 625 Duo Tablet दो दवाओं का एक संयोजन है: Amoxycillin और Clavulanic Acid। Amoxycillin एक एंटीबायोटिक है। यह बैक्टीरिया के सुरक्षात्मक आवरण के गठन को रोककर काम करता है जो बैक्टीरिया के अस्तित्व के लिए आवश्यक है। Clavulanic Acid एक बीटा-लैक्टामेज अवरोधक है जो प्रतिरोध को कम करता है और बैक्टीरिया के खिलाफ Amoxycillin की गतिविधि को बढ़ाता है।,"यदि आपको Augmentin 625 Duo Tablet की एक खुराक याद आती है, तो इसे जल्द से जल्द लें। हालांकि, अगर यह आपकी अगली खुराक के लिए लगभग समय है, तो छूटी हुई खुराक को छोड़ दें और अपने नियमित समय पर वापस जाएं। खुराक को दोगुना न करें।","बैक्टीरिया के संक्रमण के इलाज के लिए आपको इस संयोजन दवा को निर्धारित किया गया है, भले ही उन्होंने प्रतिरोध विकसित किया हो। , निर्धारित पाठ्यक्रम को पूरा करें, भले ही आप बेहतर महसूस करना शुरू कर दें। इसे जल्दी बंद करने से संक्रमण वापस आ सकता है और इलाज के लिए कठिन हो सकता है।, दस्त एक दुष्प्रभाव के रूप में हो सकता है। Augmentin 625 Duo Tablet के साथ प्रोबायोटिक्स लेने में मदद मिल सकती है। अपने डॉक्टर से बात करें यदि आप खूनी मल को नोटिस करते हैं या पेट में ऐंठन का विकास करते हैं।, परेशान पेट से बचने के लिए भोजन और बहुत सारे तरल पदार्थों के साथ इसे लें। Augmentin 625 Duo Tablet को लेना बंद करें और अपने चिकित्सक को तुरंत सूचित करें यदि आप एक खुजलीदार दाने, सूजन का विकास करते हैं। इसे लेते समय चेहरे, गले या जीभ या सांस लेने में कठिनाई। भविष्य में किसी भी संक्रमण के इलाज के लिए बचे हुए दवा का उपयोग न करें। कोई भी एंटीबायोटिक लेने से पहले हमेशा अपने डॉक्टर से सलाह लें।","उल्टी, उल्टी, दस्त","उल्टी के साथ मुकाबला करना आप बड़े लोगों के बजाय छोटे, लगातार भोजन खाने और तरल पदार्थ पीने से खुद की मदद कर सकते हैं। धीरे - धीरे खाओ। वसायुक्त, तले, मसालेदार और बहुत मीठे खाद्य पदार्थों से बचें। ठंडा या थोड़ा गर्म भोजन खाएं यदि पका हुआ या खाना पकाने की गंध आपको बीमार महसूस करती है। भरपूर ताजी हवा लें। आप अदरक को चबाने या अदरक की चाय पीने की कोशिश कर सकते हैं। अपने रक्त में पोटेशियम को बदलने के लिए केला खाएं जो अगर आप बीमार हैं (उल्टी) तो छोड़ सकते हैं। बीमार होने के माध्यम से खोए विटामिन और खनिजों को बदलने के लिए मौखिक पुनर्जलीकरण लवण का उपयोग करें। कुछ दवाएं हैं जो आपको बीमार महसूस करने से रोकने में मदद कर सकती हैं। अपने चिकित्सक से बात करें यदि आपकी स्थिति में सुधार नहीं होता है। मतली के साथ काम करना। आप बड़े लोगों के बजाय छोटे, लगातार भोजन करने और बहुत सारे तरल पीने से खुद की मदद कर सकते हैं। धीरे - धीरे खाओ। वसायुक्त, तले, मसालेदार और बहुत मीठे खाद्य पदार्थों से बचें। ठंडा या थोड़ा गर्म भोजन खाएं यदि पका हुआ या खाना पकाने की गंध आपको बीमार महसूस करती है। भरपूर ताजी हवा लें। आप अदरक को चबाने या अदरक की चाय पीने की कोशिश कर सकते हैं। अपने रक्त में पोटेशियम को बदलने के लिए केला खाएं जो अगर आप बीमार हैं (उल्टी) तो छोड़ सकते हैं। बीमार होने के माध्यम से खोए विटामिन और खनिजों को बदलने के लिए मौखिक पुनर्जलीकरण लवण का उपयोग करें। कुछ दवाएं हैं जो आपको बीमार महसूस करने से रोकने में मदद कर सकती हैं। अपनी स्थिति में सुधार न होने पर अपने डॉक्टर से बात करें। डायरिया से बचाव के लिए अपने तरल पदार्थों और इलेक्ट्रोलाइट्स (शर्करा और लवण) का सेवन कम करें ताकि डिहाइड्रेट न हो। फाइबर कम खाएं (कच्चे फलों, फलों के रस और सब्जियों से बचें)। दस्त का प्रबंधन करने के लिए संभावित दवा के बारे में अपने डॉक्टर से बात करें। अपनी दवा या अन्य उपयुक्त उपचार की खुराक कम करने के बारे में पूछें","Augmentin 625 Duo Tablet के साथ शराब का सेवन करने से कोई हानिकारक दुष्प्रभाव नहीं होते हैं। पिछला सुझाव Alcohol.Augmentin 625 Duo Tablet के लिए है, जिसे आमतौर पर गर्भावस्था के दौरान इस्तेमाल करना सुरक्षित माना जाता है। पशु अध्ययन ने विकासशील बच्चे को कम या कोई प्रतिकूल प्रभाव नहीं दिखाया है; हालाँकि, सीमित मानव अध्ययन हैं। पिछला सुझाव गर्भवती महिलाओं के लिए है। स्तनपान के दौरान 625 डुओ टैबलेट का उपयोग करना सुरक्षित है। मानव अध्ययनों से पता चलता है कि दवा एक महत्वपूर्ण मात्रा में ब्रेस्टमिल्क में नहीं जाती है और बच्चे के लिए हानिकारक नहीं होती है। पिछला सुझाव स्तनपान के लिए है। ह्यूगमेंटिन 625 ड्यूओ टैबलेट के दुष्प्रभाव हो सकते हैं जो आपकी ड्राइव करने की क्षमता को प्रभावित कर सकते हैं। एंटीऑक्सिडेंट 625 डुओ टैबलेट से साइड इफेक्ट हो सकते हैं जैसे कि एलर्जी, चक्कर आना या फिट होना जो आपको ड्राइव करने के लिए अयोग्य बना सकता है। पिछला सुझाव ड्राइविंग के लिए है। एगुमेंटिन 625 डुओ टैबलेट का इस्तेमाल किडनी रोग के रोगियों में सावधानी के साथ किया जाना चाहिए। Augmentin 625 Duo Tablet के खुराक समायोजन की आवश्यकता हो सकती है। कृपया अपने चिकित्सक से परामर्श करें। गंभीर किडनी रोग के रोगियों में इस दवा का उपयोग करने की सलाह नहीं दी जाती है। पिछला सुझाव किडनी के लिए है। एगमेंटिन 625 डुओ टैबलेट का उपयोग लीवर की बीमारी वाले रोगियों में सावधानी के साथ किया जाना चाहिए। Augmentin 625 Duo Tablet के खुराक समायोजन की आवश्यकता हो सकती है। कृपया अपने चिकित्सक से परामर्श करें। जब आप यह दवा ले रहे हों तो लिवर फंक्शन परीक्षणों की निगरानी की सलाह दी जाती है। पिछला सुझाव लिवर के लिए है।",https://www.1mg.com/drugs/augmentin-625-duo-tablet-138629
